,#Data contains:GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#
14759,205359700,2021-03-16 09:02:21,3,11.3833218,47.3121728,2319.788,0,6.81
14760,205359800,2021-03-16 09:02:21,3,11.3833217,47.3121685,2319.601,0,6.81
14761,205359900,2021-03-16 09:02:21,3,11.3833226,47.3121631,2319.281,0,6.81
14762,205360000,2021-03-16 09:02:22,3,11.3833233,47.3121584,2318.94,0,6.81
14763,205360100,2021-03-16 09:02:22,3,11.3833214,47.3121536,2318.428,0,6.81
14764,205360200,2021-03-16 09:02:22,3,11.3833187,47.3121493,2317.984,0,6.81
14765,205360300,2021-03-16 09:02:22,3,11.3833159,47.3121445,2317.544,0,6.81
14766,205360400,2021-03-16 09:02:22,3,11.3833137,47.3121391,2317.159,0,6.81
14767,205360500,2021-03-16 09:02:22,3,11.3833099,47.3121349,2316.625,1,6.81
14768,205360600,2021-03-16 09:02:22,3,11.3833065,47.3121316,2316.056,1,6.81
14769,205360700,2021-03-16 09:02:22,3,11.3833039,47.3121288,2315.58,1,6.81
14770,205360800,2021-03-16 09:02:22,3,11.3833005,47.3121253,2314.987,1,6.81
14771,205360900,2021-03-16 09:02:22,3,11.3832979,47.3121211,2314.565,1,6.81
14772,205361000,2021-03-16 09:02:23,3,11.3832954,47.312117,2314.226,1,6.75
14773,205361100,2021-03-16 09:02:23,3,11.3832919,47.3121127,2313.839,1,6.75
14774,205361200,2021-03-16 09:02:23,3,11.3832885,47.3121082,2313.435,1,6.75
14775,205361300,2021-03-16 09:02:23,3,11.3832848,47.3121035,2313.069,1,6.75
14776,205361400,2021-03-16 09:02:23,3,11.3832811,47.3120979,2312.68,1,6.75
14777,205361500,2021-03-16 09:02:23,3,11.3832762,47.3120921,2312.303,0,6.75
14778,205361600,2021-03-16 09:02:23,3,11.3832715,47.3120863,2311.932,0,6.75
14779,205361700,2021-03-16 09:02:23,3,11.3832658,47.3120809,2311.613,0,6.69
14780,205361800,2021-03-16 09:02:23,3,11.3832574,47.3120743,2311.139,0,6.69
14781,205361900,2021-03-16 09:02:23,3,11.3832505,47.3120687,2310.677,0,6.69
14782,205362000,2021-03-16 09:02:24,3,11.3832471,47.3120628,2310.23,0,6.69
14783,205362100,2021-03-16 09:02:24,3,11.3832411,47.3120562,2309.817,0,6.69
14784,205362200,2021-03-16 09:02:24,3,11.3832358,47.3120501,2309.477,0,6.69
14785,205362300,2021-03-16 09:02:24,3,11.3832314,47.3120432,2309.1,0,6.69
14786,205362400,2021-03-16 09:02:24,3,11.3832276,47.3120374,2308.627,0,6.69
14787,205362500,2021-03-16 09:02:24,3,11.3832241,47.3120315,2308.218,1,6.62
14788,205362600,2021-03-16 09:02:24,3,11.38322,47.3120266,2307.657,1,6.62
14789,205362700,2021-03-16 09:02:24,3,11.3832161,47.3120193,2307.245,1,6.62
14790,205362800,2021-03-16 09:02:24,3,11.3832129,47.3120114,2306.456,1,6.62
14791,205362900,2021-03-16 09:02:24,3,11.3832091,47.3120046,2305.705,1,6.62
14792,205363000,2021-03-16 09:02:25,3,11.3832058,47.3119989,2305.016,1,6.62
14793,205363100,2021-03-16 09:02:25,3,11.3832014,47.3119928,2304.377,1,6.62
14794,205363200,2021-03-16 09:02:25,3,11.3831976,47.3119868,2303.83,1,6.56
14795,205363300,2021-03-16 09:02:25,3,11.3831936,47.3119805,2303.3,1,6.56
14796,205363400,2021-03-16 09:02:25,3,11.3831895,47.3119743,2302.729,1,6.56
14797,205363500,2021-03-16 09:02:25,3,11.3831849,47.3119682,2302.232,0,6.56
14798,205363600,2021-03-16 09:02:25,3,11.3831804,47.3119617,2301.743,0,6.56
14799,205363700,2021-03-16 09:02:25,3,11.3831758,47.3119561,2301.163,0,6.56
14800,205363800,2021-03-16 09:02:25,3,11.3831704,47.3119496,2300.613,0,6.56
14801,205363900,2021-03-16 09:02:25,3,11.3831643,47.311944,2299.784,0,6.56
14802,205364000,2021-03-16 09:02:26,3,11.383158,47.3119374,2299.083,0,6.5
14803,205364100,2021-03-16 09:02:26,3,11.3831519,47.3119307,2298.509,0,6.5
14804,205364200,2021-03-16 09:02:26,3,11.3831457,47.3119235,2297.924,0,6.5
14805,205364300,2021-03-16 09:02:26,3,11.3831412,47.3119178,2297.42,0,6.5
14806,205364400,2021-03-16 09:02:26,3,11.3831361,47.3119117,2296.972,0,6.5
14807,205364500,2021-03-16 09:02:26,3,11.3831309,47.3119062,2296.343,1,6.5
14808,205364600,2021-03-16 09:02:26,3,11.3831255,47.3119002,2295.745,1,6.5
14809,205364700,2021-03-16 09:02:26,3,11.3831196,47.3118933,2295.226,1,6.44
14810,205364800,2021-03-16 09:02:26,3,11.3831136,47.3118864,2294.694,1,6.44
14811,205364900,2021-03-16 09:02:26,3,11.3831078,47.3118793,2294.055,1,6.44
14812,205365000,2021-03-16 09:02:27,3,11.3831026,47.3118716,2293.496,1,6.44
14813,205365100,2021-03-16 09:02:27,3,11.3830961,47.3118656,2292.789,1,6.44
14814,205365200,2021-03-16 09:02:27,3,11.3830911,47.3118591,2292.246,1,6.44
14815,205365300,2021-03-16 09:02:27,3,11.3830866,47.3118541,2291.626,1,6.44
14816,205365400,2021-03-16 09:02:27,3,11.3830819,47.3118481,2291.124,1,6.44
14817,205365500,2021-03-16 09:02:27,3,11.3830764,47.311843,2290.198,0,6.44
14818,205365600,2021-03-16 09:02:27,3,11.3830718,47.3118367,2289.585,0,6.44
14819,205365700,2021-03-16 09:02:27,3,11.383067,47.3118299,2288.987,0,6.44
14820,205365800,2021-03-16 09:02:27,3,11.3830637,47.3118251,2288.082,0,6.44
14821,205365900,2021-03-16 09:02:27,3,11.3830596,47.3118187,2287.508,0,6.44
14822,205366000,2021-03-16 09:02:28,3,11.3830558,47.3118116,2287.047,0,6.44
14823,205366100,2021-03-16 09:02:28,3,11.3830534,47.3118059,2286.488,0,6.44
14824,205366200,2021-03-16 09:02:28,3,11.3830526,47.3118003,2286.015,0,6.44
14825,205366300,2021-03-16 09:02:28,3,11.3830493,47.3117934,2285.534,0,6.44
14826,205366400,2021-03-16 09:02:28,3,11.3830462,47.3117869,2284.994,0,6.44
14827,205366500,2021-03-16 09:02:28,3,11.3830459,47.3117829,2283.988,1,6.44
14828,205366600,2021-03-16 09:02:28,3,11.3830436,47.3117773,2283.362,1,6.44
14829,205366700,2021-03-16 09:02:28,3,11.383043,47.3117719,2282.741,1,6.44
14830,205366800,2021-03-16 09:02:28,3,11.3830404,47.3117668,2282.066,1,6.44
14831,205366900,2021-03-16 09:02:28,3,11.3830387,47.3117612,2281.51,1,6.44
14832,205367000,2021-03-16 09:02:29,3,11.3830369,47.3117557,2280.972,1,6.44
14833,205367100,2021-03-16 09:02:29,3,11.3830366,47.3117501,2280.391,1,6.44
14834,205367200,2021-03-16 09:02:29,3,11.3830339,47.3117438,2279.839,1,6.44
14835,205367300,2021-03-16 09:02:29,3,11.3830295,47.3117368,2279.401,1,6.44
14836,205367400,2021-03-16 09:02:29,3,11.3830266,47.3117288,2278.912,1,6.44
14837,205367500,2021-03-16 09:02:29,3,11.3830237,47.3117217,2278.478,0,6.44
14838,205367600,2021-03-16 09:02:29,3,11.3830198,47.3117139,2277.976,0,6.44
14839,205367700,2021-03-16 09:02:29,3,11.3830172,47.311707,2277.465,0,6.37
14840,205367800,2021-03-16 09:02:29,3,11.3830151,47.3117002,2276.842,0,6.37
14841,205367900,2021-03-16 09:02:29,3,11.3830127,47.3116928,2276.257,0,6.37
14842,205368000,2021-03-16 09:02:30,3,11.3830108,47.3116848,2275.722,0,6.37
14843,205368100,2021-03-16 09:02:30,3,11.3830098,47.3116775,2275.161,0,6.37
