#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,height[m]
205334700,2021:03:16:09:01:56,3,11.3832045,47.3122371,2320798,0,6.06,2320.798
205334800,2021:03:16:09:01:56,3,11.3832046,47.3122372,2320783,0,6.06,2320.783
205334900,2021:03:16:09:01:56,3,11.3832047,47.3122373,2320803,0,6.06,2320.803
205335000,2021:03:16:09:01:57,3,11.3832047,47.3122374,2320789,0,6.06,2320.789
205335100,2021:03:16:09:01:57,3,11.3832046,47.3122375,2320773,0,6.06,2320.773
205335200,2021:03:16:09:01:57,3,11.3832046,47.3122376,2320780,0,6.06,2320.78
205335300,2021:03:16:09:01:57,3,11.3832044,47.3122376,2320765,0,6.06,2320.765
205335400,2021:03:16:09:01:57,3,11.3832045,47.3122377,2320764,0,6.06,2320.764
205335500,2021:03:16:09:01:57,3,11.3832044,47.3122377,2320743,0,6.06,2320.743
205335600,2021:03:16:09:01:57,3,11.3832044,47.3122377,2320738,1,6.06,2320.738
205335700,2021:03:16:09:01:57,3,11.3832043,47.3122378,2320730,1,6.06,2320.73
205335800,2021:03:16:09:01:57,3,11.3832043,47.3122379,2320727,1,6.06,2320.727
205335900,2021:03:16:09:01:57,3,11.3832042,47.3122379,2320722,1,6.06,2320.722
205336000,2021:03:16:09:01:58,3,11.3832042,47.312238,2320702,1,6.06,2320.702
205336100,2021:03:16:09:01:58,3,11.3832041,47.312238,2320694,1,6.06,2320.694
205336200,2021:03:16:09:01:58,3,11.383204,47.312238,2320684,1,6.06,2320.684
205336300,2021:03:16:09:01:58,3,11.383204,47.3122381,2320683,1,6.06,2320.683
205336400,2021:03:16:09:01:58,3,11.3832038,47.3122381,2320667,1,6.06,2320.667
205336500,2021:03:16:09:01:58,3,11.3832037,47.3122382,2320650,1,6.06,2320.65
205336600,2021:03:16:09:01:58,3,11.3832038,47.3122381,2320658,0,6.06,2320.658
205336700,2021:03:16:09:01:58,3,11.3832037,47.3122383,2320636,0,6.06,2320.636
205336800,2021:03:16:09:01:58,3,11.3832037,47.3122383,2320627,0,6.06,2320.627
205336900,2021:03:16:09:01:58,3,11.3832037,47.3122384,2320622,0,6.06,2320.622
205337000,2021:03:16:09:01:59,3,11.3832035,47.3122383,2320612,0,6.06,2320.612
205337100,2021:03:16:09:01:59,3,11.3832034,47.3122384,2320621,0,6.06,2320.621
205337200,2021:03:16:09:01:59,3,11.3832034,47.3122385,2320609,0,6.06,2320.609
205337300,2021:03:16:09:01:59,3,11.3832034,47.3122385,2320610,0,6.06,2320.61
205337400,2021:03:16:09:01:59,3,11.3832032,47.3122386,2320604,0,6.06,2320.604
205337500,2021:03:16:09:01:59,3,11.3832032,47.3122386,2320607,0,6.06,2320.607
205337600,2021:03:16:09:01:59,3,11.3832032,47.3122387,2320613,1,6.06,2320.613
205337700,2021:03:16:09:01:59,3,11.3832031,47.3122387,2320595,1,6.0,2320.595
205337800,2021:03:16:09:01:59,3,11.383203,47.3122387,2320588,1,6.0,2320.588
205337900,2021:03:16:09:01:59,3,11.383203,47.3122388,2320588,1,6.0,2320.588
205338000,2021:03:16:09:02:00,3,11.3832029,47.3122388,2320578,1,6.0,2320.578
205338100,2021:03:16:09:02:00,3,11.3832029,47.3122389,2320577,1,6.0,2320.577
205338200,2021:03:16:09:02:00,3,11.383203,47.312239,2320581,1,6.0,2320.581
205338300,2021:03:16:09:02:00,3,11.3832028,47.312239,2320575,1,6.0,2320.575
205338400,2021:03:16:09:02:00,3,11.3832029,47.312239,2320583,1,6.0,2320.583
205338500,2021:03:16:09:02:00,3,11.3832029,47.3122392,2320578,1,6.0,2320.578
205338600,2021:03:16:09:02:00,3,11.3832028,47.3122391,2320568,0,6.0,2320.568
205338700,2021:03:16:09:02:00,3,11.3832026,47.3122391,2320572,0,6.0,2320.572
